Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	RefInt_/project/hanigan/Data/Proteomics/09242025_B/Replicate_2/fragpipe_output
A0A2R8Y4L2	1	HNRNPA1L3	0.9941	18.974118533181578	19.676083542219583	NA	NA	18.59806748813358	16.69198886812117	19.75198622454343	NA	18.011332011741047	17.519334307923085	17.342806864191918	18.974118533181578
A0A8I5KQE6	1	RPSA2	0.9808	12.336006451675642	12.389363934516021	NA	12.785539921903787	NA	12.356595290722174	12.298721397935877	14.917912879869085	12.528756419891735	12.337940326947932	12.074739509344663	12.336006451675642
A6NCW0	1	USP17L3	0.9995	22.120765355616506	23.011667396205862	NA	22.30439675900981	20.82565969532747	21.64198814308367	21.75530801512375	NA	21.179144513224145	21.583441845465057	20.918870934641184	22.120765355616506
A6NNZ2	2	TUBB8B	0.9962	23.147121967104663	23.245336831101753	NA	22.16681827063594	24.429394871567048	22.389287490034437	23.231192098110505	23.69573006529382	23.09383739675129	23.54919285787471	23.227206620077716	23.147121967104663
A6PVI3	1	NCBP2L	0.9855	18.936262847328333	19.21777999247036	NA	19.571094002459265	NA	18.940867203318344	19.224258584667826	NA	17.987695956581607	18.169896375404587	18.665265006052355	18.936262847328333
L0R8F8	1	MIEF1	0.9618	23.512862686084482	22.48534667853217	NA	22.600304146144424	22.426857069899548	23.19255084111274	23.38410357728414	23.92856043189949	24.2452193285133	26.04080922339119	23.908762007204114	23.512862686084482
O00232	1	PSMD12	0.9851	17.68862237674017	17.763178916638925	NA	18.35197374290461	NA	17.479038562853074	17.596982425969095	NA	17.199228789288828	17.35282441206777	17.88744643963615	17.68862237674017
O00264	1	PGRMC1	0.9426	21.44891784440434	21.490963562568705	NA	22.119013534762914	21.57694969036482	21.879609312094793	21.45704938747273	NA	21.395278511630593	21.886131815065518	21.362913631472335	21.44891784440434
O00330	5	PDHX	0.9999	23.54134031301616	22.73656825859303	22.449320575179343	23.928992707938065	23.64324358680952	23.1031268277632	22.109335145022772	24.161445689127277	24.25349064184251	26.011410822163533	23.61722327014848	23.54134031301616
O00422	1	SAP18	0.9722	20.85306339893343	21.127988751834437	NA	21.2675775827478	21.293971724087857	21.523097229665943	20.70687567863153	20.696467061389736	20.98646272423639	20.85112952366114	21.888140793327683	20.85306339893343
O00567	1	NOP56	0.9997	15.706203723454205	15.676240626434904	NA	NA	16.8562976358815	15.34381025286963	15.956848684947301	NA	15.788821997534662	14.973207252395044	15.392187531382005	15.706203723454205
O14979	1	HNRNPDL	0.9663	22.51931122806923	22.29761029378002	NA	21.909199961923772	NA	22.306400052348668	21.922995897206793	NA	23.165034274424933	23.48425299090798	22.902080945760886	22.51931122806923
O15371	1	EIF3D	0.9681	15.107811059497138	15.233026301627673	NA	14.903362485468612	NA	14.965582698582013	15.069385495272007	NA	14.57240232830095	15.38891912563897	14.9347465426157	15.107811059497138
O15479	1	MAGEB2	0.9993	16.704487279778593	16.49129556346544	NA	17.22003804206282	NA	16.34517988606235	16.750519815833403	NA	17.187264147941907	16.489967092875727	16.44483269264483	16.704487279778593
O43143	1	DHX15	0.994	19.092271627176856	19.19155487914573	NA	18.940075758595594	NA	18.105024777623267	18.70581095836234	NA	19.240515560430314	19.744759154309076	18.5976930269586	19.092271627176856
O43181	1	NDUFS4	0.971	17.530305062552184	17.038447654564056	NA	NA	17.944131002924436	17.424977850687622	17.41407926200907	18.354287063852993	17.624272977932122	19.13428067959594	18.001260135853265	17.530305062552184
O43678	1	NDUFA2	0.9624	19.063926788655913	18.142807177068892	NA	18.088674551854222	NA	19.005489359558638	17.806471885498382	20.354544217058358	19.28026280978684	21.440995089959774	19.858889212059246	19.063926788655913
O43818	1	RRP9	0.9986	20.5214989631151	20.729673291545737	NA	20.24550334756034	NA	19.745848330377743	20.87148225482314	NA	19.35859458786126	19.816544066138963	19.998434367513095	20.5214989631151
O60218	2	AKR1B10	0.9989	22.545915145513806	22.466750209602516	NA	22.17838491817354	21.560816253827	22.124623108328276	23.29292476973211	NA	22.499906707700127	22.02681087107501	22.33804292873383	22.545915145513806
O60568	1	PLOD3	0.9968	17.620772054011862	17.9926219279742	NA	17.005346105774446	17.804498137463696	15.867394576283361	17.671413714944112	NA	17.664475204290753	18.022942304622937	17.18649084488164	17.620772054011862
O60701	1	UGDH	0.9997	21.561105179884056	21.923374856863703	NA	21.728730131743863	NA	20.004072400917	21.447240246885915	NA	21.23079830873825	21.32241511389568	20.97292717534112	21.561105179884056
O60814	6	H2BC12	0.9994	27.290625426407093	28.303243525333887	27.337614182114397	26.739871897910128	27.37325743399766	26.60986633935487	27.018106158882123	27.769685120087097	26.39893094585718	26.582607246732817	27.136128716709514	27.290625426407093
O60884	1	DNAJA2	0.9738	15.703200740739419	15.844618365855634	NA	15.92573619790848	16.228932383371347	15.72052927386264	15.820575327137988	NA	15.627609827877464	15.340986684667564	15.966758753024946	15.703200740739419
O60911	1	CTSV	0.9969	20.668203207357394	20.877560209745905	NA	21.27334093687008	NA	20.73901497989415	20.2908594233344	NA	20.44407452182504	20.612376612774877	20.236336781498373	20.668203207357394
